"REF_DATE","GEO","DGUID","Educational qualification","Field of study","Gender","Age group","Status of student in Canada","Characteristics after graduation","Graduate statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018","Canada","2021A11124","Career, technical or professional training certificate","Personal, protective and transportation services [11]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2023 constant dollars","449","units","0","v1664688273","1.3.56.1.2.1.4.2","34600","","","","0"
"2018","Canada","2021A11124","Career, technical or professional training certificate","Personal, protective and transportation services [11]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2023 constant dollars","449","units","0","v1664688274","1.3.56.1.2.1.4.3","46800","","","","0"
"2018","Canada","2021A11124","Career, technical or professional training diploma","Total, field of study","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Number of graduates","Number","223","units","0","v1664688731","1.4.1.1.2.1.4.1","65180","","","","0"
"2018","Canada","2021A11124","Career, technical or professional training diploma","Total, field of study","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2023 constant dollars","449","units","0","v1664688732","1.4.1.1.2.1.4.2","43900","","","","0"
"2018","Canada","2021A11124","Career, technical or professional training diploma","Total, field of study","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2023 constant dollars","449","units","0","v1664688733","1.4.1.1.2.1.4.3","52500","","","","0"
"2018","Canada","2021A11124","Career, technical or professional training diploma","Education [1]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Number of graduates","Number","223","units","0","v1664697824","1.4.2.1.2.1.4.1","1160","","","","0"
"2018","Canada","2021A11124","Career, technical or professional training diploma","Education [1]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2023 constant dollars","449","units","0","v1664697825","1.4.2.1.2.1.4.2","42000","","","","0"
"2018","Canada","2021A11124","Career, technical or professional training diploma","Education [1]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2023 constant dollars","449","units","0","v1664697826","1.4.2.1.2.1.4.3","43200","","","","0"
"2018","Canada","2021A11124","Career, technical or professional training diploma","Visual and performing arts, and communications technologies [2]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Number of graduates","Number","223","units","0","v1664698066","1.4.4.1.2.1.4.1","3750","","","","0"
"2018","Canada","2021A11124","Career, technical or professional training diploma","Visual and performing arts, and communications technologies [2]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2023 constant dollars","449","units","0","v1664698067","1.4.4.1.2.1.4.2","28400","","","","0"
"2018","Canada","2021A11124","Career, technical or professional training diploma","Visual and performing arts, and communications technologies [2]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2023 constant dollars","449","units","0","v1664698068","1.4.4.1.2.1.4.3","41500","","","","0"
"2018","Canada","2021A11124","Career, technical or professional training diploma","Humanities [3]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Number of graduates","Number","223","units","0","v1664698309","1.4.7.1.2.1.4.1","720","","","","0"
"2018","Canada","2021A11124","Career, technical or professional training diploma","Humanities [3]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2023 constant dollars","449","units","0","v1664698310","1.4.7.1.2.1.4.2","39300","","","","0"
"2018","Canada","2021A11124","Career, technical or professional training diploma","Humanities [3]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2023 constant dollars","449","units","0","v1664698311","1.4.7.1.2.1.4.3","41100","","","","0"
"2018","Canada","2021A11124","Career, technical or professional training diploma","Social and behavioural sciences and law [4]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Number of graduates","Number","223","units","0","v1664698552","1.4.16.1.2.1.4.1","7350","","","","0"
"2018","Canada","2021A11124","Career, technical or professional training diploma","Social and behavioural sciences and law [4]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2023 constant dollars","449","units","0","v1664698553","1.4.16.1.2.1.4.2","36500","","","","0"
